# pi_control,v0.2.0
# log for:, actuator.speed
# date:, 2018_07_25_10_59_55
# meta:, 
# comment:,
time (s), speed (raw)
0.017426579000130005,0
0.13771487400026672,32
0.2586423869997816,1
0.37957703600022796,64
0.5003299139998489,2
0.6244999830005327,128
0.744352286999856,4
0.8640575600002194,256
0.9877792950001094,8
1.1073545150002246,512
1.2272272879999946,16
1.3513328779999938,1024
1.4719115890002286,32
1.5924506130004374,0
1.7132046880005873,64
1.832270325000536,1
1.9552220590003344,128
2.075529415999881,2
2.1950156780003454,256
2.318814600999758,4
2.4393149260004066,512
2.559934627000075,8
2.680873858999803,1024
2.8004047049998917,16
2.9239148249998834,0
3.043704159999834,32
3.1641140689998792,1
3.2839056439997876,64
3.4047849799999312,2
3.5251434830006474,128
3.648157092000474,2
3.769500023000546,256
3.891816600000311,8
4.015166719999797,512
4.135671785000341,16

